,Pclass,Sex,Age,Fare
240,0.3,0,0.7,0.054
241,0.7,0,0.6,0.059
242,0.3,1,0.6,0.263
243,1.0,1,0.4,0.015
244,1.0,1,0.4,0.046
245,0.3,1,0.5,0.101
246,0.7,0,0.3,0.041
247,0.7,1,0.6,0.063
248,0.7,0,0.4,0.051
249,1.0,0,0.4,0.028
250,0.7,0,0.0,0.054
251,1.0,1,0.3,0.015
252,0.3,1,0.4,0.267
253,1.0,1,0.3,0.018
254,1.0,1,0.4,0.019
255,1.0,1,0.4,0.015
256,1.0,1,0.4,0.015
257,1.0,1,0.4,0.016
258,0.7,0,0.2,0.025
259,1.0,1,0.3,0.015
260,1.0,1,0.5,0.034
261,1.0,1,0.3,0.015
262,0.7,0,0.4,0.045
263,1.0,0,0.0,0.024
264,0.7,1,0.4,0.025
265,1.0,1,0.4,0.015
266,0.3,1,0.4,0.0
267,1.0,1,0.4,0.015
268,1.0,0,0.4,0.016
269,1.0,1,0.2,0.017
270,0.3,1,0.6,0.147
271,1.0,1,0.4,0.015
272,0.3,0,0.3,0.267
273,1.0,0,0.4,0.03
274,1.0,1,0.4,0.014
275,0.7,0,0.3,0.051
276,0.7,1,0.4,0.02
277,0.7,1,0.5,0.051
278,0.7,1,0.4,0.041
279,0.7,1,0.3,0.02
280,1.0,0,0.3,0.017
281,1.0,1,0.0,0.027
282,1.0,0,0.4,0.015
283,1.0,0,0.1,0.03
284,1.0,0,0.0,0.039
285,1.0,1,0.5,0.014
286,1.0,1,0.4,0.014
287,0.3,1,0.3,0.161
288,1.0,1,0.4,0.014
289,1.0,1,0.4,0.016
290,0.3,1,0.4,0.077
291,1.0,0,0.4,0.014
292,1.0,1,0.4,0.014
293,0.3,1,0.7,0.16
294,1.0,1,0.5,0.019
295,1.0,1,0.3,0.015
296,0.7,0,0.0,0.081
297,1.0,1,0.4,0.042
298,0.3,1,0.4,0.089
299,1.0,1,0.4,0.015
300,1.0,1,0.4,0.015
301,0.7,1,0.4,0.029
302,0.7,1,0.6,0.041
303,1.0,1,0.3,0.017
304,1.0,0,0.4,0.015
305,0.3,0,0.8,0.052
306,0.3,1,0.4,0.296
307,1.0,1,0.0,0.018
308,0.3,1,0.7,0.182
309,1.0,0,0.6,0.028
310,1.0,1,0.2,0.017
311,1.0,1,0.3,0.014
312,1.0,1,0.4,0.015
313,1.0,0,0.5,0.015
314,0.3,0,0.7,0.265
315,1.0,0,0.2,0.015
316,0.3,1,0.8,0.286
317,0.7,1,0.2,0.02
318,1.0,1,0.4,0.015
319,0.7,1,0.3,0.061
320,1.0,1,0.3,0.015
321,1.0,1,0.3,0.014
322,0.7,1,0.3,0.025
323,0.3,1,0.4,0.052
324,0.3,0,0.5,0.413
325,1.0,1,0.3,0.014
326,0.7,0,0.2,0.076
327,0.3,1,0.6,0.155
328,0.7,1,0.4,0.051
329,0.7,1,0.3,0.025
330,0.7,0,0.6,0.072
331,0.3,1,0.5,0.058
332,1.0,1,0.4,0.014
333,1.0,0,0.2,0.031
334,1.0,1,0.4,0.015
335,0.3,1,0.4,0.051
336,0.7,1,0.4,0.025
337,1.0,1,0.5,0.014
338,0.7,1,0.3,0.061
339,1.0,1,0.4,0.014
340,0.7,1,0.2,0.02
341,1.0,1,0.4,0.015
342,1.0,1,0.4,0.136
343,0.3,0,0.8,1.0
344,1.0,1,0.4,0.028
345,1.0,0,0.2,0.015
346,0.7,1,0.3,0.025
347,1.0,0,0.5,0.014
348,0.7,1,0.3,0.026
349,0.7,0,0.4,0.041
350,0.3,0,0.6,0.124
351,0.7,1,0.3,0.02
352,0.7,1,0.2,0.143
353,0.7,1,0.6,0.127
354,1.0,0,0.0,0.04
355,0.3,1,0.7,0.051
356,0.3,0,0.8,0.1
357,1.0,1,0.4,0.015
358,1.0,1,0.4,0.015
359,1.0,0,0.4,0.03
360,1.0,1,0.2,0.136
361,0.7,0,0.3,0.072
362,0.7,0,0.4,0.041
363,1.0,1,0.4,0.017
364,0.3,0,0.3,0.108
365,1.0,0,0.4,0.136
366,1.0,1,0.4,0.028
367,1.0,0,0.3,0.077
368,0.3,0,0.6,0.116
369,0.7,1,0.4,0.027
370,0.7,1,0.3,0.022
371,0.3,0,0.4,0.263
372,0.3,1,0.6,0.0
373,0.7,1,0.6,0.025
374,0.3,0,0.7,0.16
375,0.3,0,0.6,0.512
376,1.0,0,0.3,0.017
377,0.7,1,0.3,0.022
378,0.3,1,0.7,0.098
379,1.0,1,0.1,0.061
380,1.0,1,0.4,0.015
381,1.0,1,0.3,0.015
382,1.0,0,0.4,0.028
383,1.0,0,0.2,0.031
384,0.7,1,0.4,0.025
385,0.7,0,0.3,0.127
386,1.0,1,0.3,0.015
387,0.7,1,0.8,0.025
388,1.0,1,0.3,0.015
389,1.0,1,0.1,0.041
390,0.3,1,0.3,0.182
391,0.3,0,0.7,0.077
392,1.0,1,0.2,0.04
393,0.7,1,0.6,0.02
394,1.0,1,0.4,0.043
395,0.3,0,0.2,0.117
396,1.0,1,0.3,0.014
397,0.3,0,0.6,0.155
398,1.0,1,0.3,0.015
399,1.0,1,0.4,0.015
400,0.3,0,0.4,0.322
401,0.7,1,0.5,0.041
402,0.3,0,0.3,0.116
403,0.3,1,0.2,0.092
404,0.3,1,0.6,0.054
405,0.7,1,0.3,0.027
406,0.7,1,0.3,0.02
407,0.3,1,0.7,0.413
408,1.0,0,0.4,0.015
409,1.0,0,0.0,0.027
410,1.0,0,0.4,0.015
411,0.3,0,0.5,0.176
412,1.0,0,0.4,0.015
413,1.0,1,0.4,0.016
414,0.3,0,0.5,0.213
415,1.0,1,0.5,0.014
416,1.0,1,0.4,0.016
417,1.0,1,0.4,0.044
